Card Name,Card Text
Default,This is where explanatory text about what decks run this card and how to play around it will be.
Ranger's Resolve,"This is often run in Scouts, Bannermen, or other wide Demacia decks."
Sharpsight,"You should assume this is in every Demacia deck you face. Keep in mind that it lets your opponent block Elusives: if you can't protect your e.g., Ezreal after this spell, don't attack with him."
Riposte,"This is mostly run in Fiora decks, although it is sometimes seen in Scouts. This is Fiora's champion spell, so it's extra likely if she's on the field."
Single Combat,"This is run in almost every Demacia deck, although most modern Scouts versions cut it."
Concerted Strike,This is run in Fiora/Shen decks and Demacia/Targon decks most commonly. Keep in mind that the order matters on your opponent's strikes: you can often prevent Fiora from getting a kill even if you can't keep your unit alive.
Judgment,"This isn't that common of a card, although it is Garen's champion spell. It's a very powerful tech choice, though, so be very careful around it. The story on the side may be inspired by real events."
For The Fallen,Can be very low-cost if they drew it early. Run primarily in Elites decks.
Relentless Pursuit,This is very common in Demacia decks: don't commit all of your mana if they still have 3 and you'd lose to this card. It's most common on your attack turns so they get the Scout attack as well.
Radiant Guardian,"Most common in Demacia/Targon decks, although it can be run in lots of Demacia decks. If they make weird suicide attacks at 5+ mana assume they're setting it up."
Jettison,"If they have 19 or fewer cards, they can use Jettison to give +3/+3 to all of their Sea Monsters at Burst speed. If they have 23 or fewer, they can do the same with double Jettison."
Make It Rain,"If they're blocking to set up lots of cards at 1 health, it's usually to set this up or to set up TF's Red Card. Also MF's champion spell."
Mind Meld,Run mainly in Fizz/TF decks and a bit of a meme in anything else. Keep a rough tally of how many spells they've played and hold removal until they play it.
Hired Gun,A common card to forget about and give unnecessary value. 
Twisted Fate,"Red Card can be devastating if played into: they can only do this once while TF lives, so bait it out and then play your weak units. In the mirror, don't play your TF first if he'd die to Gold Card."
Devourer of the Depths,The only Bilgewater Obliterate card. Keep in mind they can use Jettison or Salvage to give it more health at Burst speed. 
Riptide Rex,"Not as common since the nerf, but often a 3-of in Ganglpank or TF/Ezreal decks. Can be played around by flooding the board."
Transfusion,One of the only health-adding combat tricks in Noxus. Mainly run in Crimson decks. Vladimir's champion spell.
Brothers' Bond,Not common: mainly run in Darrowing or spiders Noxus aggro decks. Don't get greedy if your Nexus is going down to 4 and they have this up.
Ravenous Flock,"Can be seen in basically any Noxus deck and should always be played around. Don't take greedy blocks with units you need to keep alive. Swain's champion spell, so if they have Swain and play The Leviathan they have this."
Death Lotus,Not common but can have massive value. Katarina's champion spell. 
Noxian Fervor,"Run mainly in Pirate Burn and Swain decks for the 6 non-combat damage. Can be interrupted, so keep your removal until they play it."
